epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,5519.38,1.02949,0.50648,0.93446,0.83578,0.71112,0.76183,0.48724,1.01839,0.47504,0.94212,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5600.62,1.01657,0.50395,0.93088,0.80131,0.73304,0.76584,0.48986,1.01708,0.47232,0.94148,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5681.82,1.01567,0.50137,0.93068,0.80599,0.73065,0.76194,0.48972,1.01878,0.47246,0.94185,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5762.8,1.01114,0.50096,0.93152,0.79272,0.72908,0.76011,0.48998,1.01873,0.47194,0.94175,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5843.75,1.00759,0.49686,0.9306,0.76664,0.75165,0.75951,0.48738,1.01993,0.4711,0.9421,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5924.94,1.0089,0.49787,0.92747,0.80735,0.72237,0.75856,0.49246,1.01878,0.46951,0.94169,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6006.04,1.01224,0.49744,0.93104,0.80229,0.73861,0.75879,0.49161,1.01677,0.46868,0.94087,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6086.99,1.00789,0.49416,0.92861,0.81659,0.73068,0.75692,0.49213,1.0148,0.46788,0.94034,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6167.92,1.0009,0.49121,0.92684,0.79319,0.7426,0.75841,0.49296,1.01544,0.46781,0.94052,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6248.86,0.99633,0.48909,0.92657,0.80415,0.73438,0.75863,0.49215,1.01537,0.46718,0.94063,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,6329.96,0.99341,0.48563,0.92481,0.79496,0.74158,0.758,0.49169,1.01523,0.46531,0.94094,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6411.11,0.9976,0.48746,0.9251,0.78781,0.74038,0.75742,0.49177,1.01531,0.46591,0.9412,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6492.1,0.98687,0.48101,0.92013,0.7957,0.73478,0.7567,0.49246,1.01445,0.46539,0.94162,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6573.16,0.98861,0.48182,0.9211,0.81342,0.732,0.75767,0.4922,1.01393,0.46445,0.94183,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,6654.51,0.98592,0.48096,0.92268,0.80553,0.73356,0.756,0.4919,1.01413,0.46489,0.94189,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6735.9,0.98454,0.4804,0.92196,0.79936,0.73782,0.75714,0.49292,1.01279,0.46468,0.9415,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,6817.35,0.98156,0.47811,0.91801,0.80656,0.73123,0.75762,0.49209,1.01247,0.46448,0.9417,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6898.47,0.97616,0.47451,0.91476,0.81155,0.72952,0.75688,0.49282,1.01226,0.46457,0.94179,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6979.76,0.97533,0.47026,0.91713,0.80666,0.72889,0.75575,0.49271,1.01204,0.46434,0.94164,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7061.13,0.97288,0.47278,0.91791,0.82231,0.72287,0.75728,0.49323,1.01191,0.46471,0.94154,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7142.23,0.9681,0.46668,0.91577,0.81187,0.7293,0.75614,0.49341,1.01212,0.46504,0.94165,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,7223.65,0.96616,0.46669,0.91698,0.81492,0.73487,0.75829,0.49458,1.01192,0.46414,0.9417,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,7305.17,0.95763,0.46288,0.91245,0.81327,0.73676,0.75864,0.49442,1.01155,0.46398,0.94159,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,7386.02,0.93188,0.4391,0.91545,0.79634,0.7372,0.75772,0.49338,1.01131,0.46398,0.94159,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,7466.15,0.91564,0.43083,0.90981,0.79234,0.7374,0.75498,0.49334,1.01167,0.4645,0.94175,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,7546.05,0.9181,0.43015,0.91053,0.83894,0.71463,0.7551,0.49102,1.0119,0.46413,0.94156,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,7626.05,0.90946,0.42837,0.90856,0.83883,0.71381,0.75454,0.49143,1.01258,0.46401,0.94159,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,7705.99,0.90563,0.42298,0.90659,0.84378,0.71368,0.75683,0.49167,1.01212,0.46493,0.94167,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,7786.11,0.90517,0.4211,0.90714,0.84506,0.70994,0.75618,0.4915,1.01237,0.46474,0.94185,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,7866.23,0.89584,0.41774,0.90484,0.84245,0.70956,0.75599,0.49179,1.01241,0.46426,0.9418,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,7946.42,0.89592,0.41671,0.90329,0.84336,0.70969,0.75573,0.49045,1.01236,0.46419,0.94194,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,8026.6,0.88836,0.41264,0.90238,0.83564,0.71298,0.75751,0.49282,1.01235,0.46402,0.94195,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,8106.73,0.89026,0.41301,0.90286,0.83567,0.71309,0.75787,0.49223,1.01279,0.46431,0.94213,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
